Simulation Log
==============
Time: 6.82s | Bodies: 1185 | Live Microbes: 0
Time: 6.85s | Bodies: 1185 | Live Microbes: 0
Time: 6.86s | Bodies: 1185 | Live Microbes: 0
Time: 6.88s | Bodies: 1185 | Live Microbes: 0
Time: 6.90s | Bodies: 1185 | Live Microbes: 0
Time: 6.92s | Bodies: 1185 | Live Microbes: 0
Time: 6.93s | Bodies: 1185 | Live Microbes: 0
Time: 6.95s | Bodies: 1185 | Live Microbes: 0
Time: 6.97s | Bodies: 1185 | Live Microbes: 0
Time: 6.99s | Bodies: 1185 | Live Microbes: 0
Time: 7.00s | Bodies: 1185 | Live Microbes: 0
Time: 7.02s | Bodies: 1185 | Live Microbes: 0
Time: 7.04s | Bodies: 1185 | Live Microbes: 0
Time: 7.05s | Bodies: 1185 | Live Microbes: 0
Time: 7.07s | Bodies: 1185 | Live Microbes: 0
Time: 7.09s | Bodies: 1185 | Live Microbes: 0
Time: 7.11s | Bodies: 1185 | Live Microbes: 0
Time: 7.12s | Bodies: 1185 | Live Microbes: 0
Time: 7.14s | Bodies: 1185 | Live Microbes: 0
Time: 7.16s | Bodies: 1185 | Live Microbes: 0
Time: 7.18s | Bodies: 1185 | Live Microbes: 0
Time: 7.20s | Bodies: 1185 | Live Microbes: 0
Time: 7.22s | Bodies: 1185 | Live Microbes: 0
Time: 7.24s | Bodies: 1185 | Live Microbes: 0
Time: 7.26s | Bodies: 1185 | Live Microbes: 0
Time: 7.28s | Bodies: 1185 | Live Microbes: 0
Time: 7.30s | Bodies: 1185 | Live Microbes: 0
Time: 7.31s | Bodies: 1185 | Live Microbes: 0
Time: 7.33s | Bodies: 1185 | Live Microbes: 0
Time: 7.35s | Bodies: 1185 | Live Microbes: 0
Time: 7.37s | Bodies: 1185 | Live Microbes: 0
Time: 7.39s | Bodies: 1185 | Live Microbes: 0
Time: 7.40s | Bodies: 1185 | Live Microbes: 0
Time: 7.42s | Bodies: 1185 | Live Microbes: 0
Time: 7.44s | Bodies: 1185 | Live Microbes: 0
Time: 7.45s | Bodies: 1185 | Live Microbes: 0
